Role_ID,Base_Salary,Training_Cost,Outsourcing_Cost,Time_to_Hire,Criticality_Score,Risk_Impact,Certification_Bonus_Cost
OG-WRL-001,78000,15000,50000,90,1.2,0.7,5000
OG-WRL-002,82000,16000,52000,85,1.3,0.75,5500
OG-WRL-003,80000,17000,51000,90,1.3,0.75,5500
OG-WRL-004,70000,14000,42000,70,1.1,0.6,4000
OG-WRL-005,68000,13000,41000,65,1.1,0.6,3500
OG-WRL-006,95000,12000,60000,110,1.2,0.8,6000
OG-WRL-007,150000,20000,90000,120,1.8,1.0,10000
OG-WRL-008,90000,15000,55000,95,1.3,0.85,6000
OG-WRL-009,85000,14000,50000,80,1.2,0.7,5000
OG-WRL-010,92000,15000,55000,85,1.3,0.75,5500
OG-WRL-011,88000,15000,53000,85,1.3,0.75,5000
OG-WRL-012,84000,16000,52000,90,1.4,0.85,5500
OG-WRL-013,83000,15000,51000,85,1.4,0.85,5000
OG-WRL-014,90000,16000,54000,90,1.5,0.9,6000
OG-WRL-015,95000,17000,56000,95,1.3,0.75,6000
OG-WRL-016,87000,16000,53000,90,1.4,0.8,5500
DD-WRL-001,105000,18000,65000,100,1.5,0.9,7000
DD-WRL-002,65000,16000,40000,60,1.3,0.7,4500
DD-WRL-003,98000,17000,62000,95,1.4,0.85,6500
DD-WRL-004,102000,18000,64000,100,1.5,0.9,7000
DD-WRL-005,96000,17000,60000,90,1.4,0.85,6500
DD-WRL-006,92000,16000,58000,85,1.3,0.8,6000
DD-WRL-007,90000,16000,56000,85,1.3,0.8,6000
DD-WRL-008,110000,19000,68000,110,1.6,0.95,7500
DD-WRL-009,115000,20000,70000,120,1.6,1.0,8000
IO-WRL-001,82000,15000,50000,80,1.3,0.8,5000
IO-WRL-002,85000,15000,52000,85,1.3,0.8,5000
IO-WRL-003,78000,14000,48000,75,1.2,0.75,4500
IO-WRL-004,88000,15000,54000,85,1.4,0.85,5000
IO-WRL-005,68000,14000,42000,80,1.2,0.8,4000
IO-WRL-006,90000,16000,55000,90,1.4,0.9,5500
IO-WRL-007,60000,12000,38000,60,1.0,0.6,3000
PD-WRL-001,70000,18000,45000,75,1.4,0.9,6000
PD-WRL-002,95000,18000,62000,95,1.5,0.95,6500
PD-WRL-003,72000,19000,50000,95,1.5,0.95,7000
PD-WRL-004,92000,17000,60000,90,1.4,0.9,6000
PD-WRL-005,98000,18000,63000,100,1.5,0.95,6500
PD-WRL-006,76000,17000,30000,40,1.6,1.0,5000
PD-WRL-007,97000,17000,62000,95,1.5,0.95,6500
IN-WRL-001,99000,18000,65000,110,1.6,1.0,7000
IN-WRL-002,94000,17000,62000,100,1.5,0.95,6500
